11a_99,"[[[-6, 2], [2, -2]]]"
11a_100,"[[[2, -4], [-4, -1]]]"
11a_102,"[[[-54/5, 22/5], [22/5, -16/5]]]"
11a_103,"[[[-50/7, 18/7], [18/7, -16/7]]]"
11a_106,"[[[6, -4], [-4, 1]]]"
11a_107,"[[[6, -4], [-4, 1]]]"
11a_108,"[[[0, 0], [0, 0]]]"
11a_109,"[[[-2, 0], [0, -1]]]"
11a_117,"[[[6, -6], [-6, 0]]]"
11a_118,"[[[-2, 0], [0, -1]]]"
11a_123,"[[[20/3, -22/3], [-22/3, -1/3]], [['x', 'x'], ['x', 'x']], [[20/3, -22/3], [-22/3, -1/3]], [[-68/3, 22/3], [22/3, -23/3]]]"
11a_128,"[[[-76/7, 38/7], [38/7, -19/7]]]"
11a_130,"[[[-4, 4], [4, 0]]]"
11a_132,"[[[58, -30], [-30, 14]]]"
11a_134,"[[[4, -4], [-4, 0]]]"
11a_135,"[[[-20/3, 10/3], [10/3, -5/3]], [[-28/3, 14/3], [14/3, -7/3]], [[76/9, -38/9], [-38/9, 19/9]], [[-20/3, 10/3], [10/3, -5/3]]]"
11a_137,"[[[-14, 8], [8, -3]]]"
11a_139,"[[[-4, 0], [0, -2]]]"
11a_146,"[[[-18, 10], [10, -4]]]"
11a_152,"[[[2, 0], [0, 1]]]"
11a_155,"[[['x', 'x'], ['x', 'x']], [[-8/3, 10/3], [10/3, 1/3]], [[-16/3, 14/3], [14/3, -1/3]], [['x', 'x'], ['x', 'x']]]"
11a_157,"[[[2, 0], [0, 1]]]"
11a_159,"[[[8, -6], [-6, 1]]]"
11a_161,"[[[-4, 4], [4, 0]]]"
11a_165,"[[[-2, 0], [0, -1]]]"
11a_171,"[[[0, -2], [-2, -1]]]"
11a_173,"[[[-74/3, 34/3], [34/3, -20/3]], [[22/3, -14/3], [-14/3, 4/3]], [['x', 'x'], ['x', 'x']], [[22/3, -14/3], [-14/3, 4/3]]]"
11a_175,"[[[2, -2], [-2, 0]]]"
11a_176,"[[[0, -2], [-2, -1]]]"
